1.0.0	ACT I
1.1.1	Venice. A street. 
1.1.2	Enter RODERIGO and IAGO.
1.1.3	Tush! never tell me; I take it much unkindly 
1.1.4	That thou, Iago, who hast had my purse 
1.1.5	As if the strings were thine, shouldst know of this. 
1.1.6	'Sblood, but you will not hear me: 
1.1.7	If ever I did dream of such a matter, 
1.1.8	Abhor me. 
1.1.9	Thou told'st me thou didst hold him in thy hate. 
1.1.10	Despise me, if I do not. Three great ones of the city, 
1.1.11	In personal suit to make me his lieutenant, 
1.1.12	Off-capp'd to him: and, by the faith of man, 
1.1.13	I know my price, I am worth no worse a place: 
1.1.14	But he, as loving his own pride and purposes, 
1.1.15	Evades them, with a bombast circumstance 
1.1.16	Horribly stuff'd with epithets of war; 
1.1.17	And, in conclusion, 
1.1.18	Nonsuits my mediators; for, 'Certes,' says he, 
1.1.19	'I have already chose my officer.' 
1.1.20	And what was he? 
1.1.21	Forsooth, a great arithmetician, 
1.1.22	One Michael Cassio, a Florentine, 
1.1.23	A fellow almost damn'd in a fair wife; 
1.1.24	That never set a squadron in the field, 
1.1.25	Nor the division of a battle knows 
1.1.26	More than a spinster; unless the bookish theoric, 
1.1.27	Wherein the toged consuls can propose 
1.1.28	As masterly as he: mere prattle, without practice, 
1.1.29	Is all his soldiership. But he, sir, had the election: 
1.1.30	And I, of whom his eyes had seen the proof 
1.1.31	At Rhodes, at Cyprus and on other grounds 
1.1.32	Christian and heathen, must be be-lee'd and calm'd 
1.1.33	By debitor and creditor: this counter-caster, 
1.1.34	He, in good time, must his lieutenant be, 
1.1.35	And I--God bless the mark!--his Moorship's ancient. 
1.1.36	By heaven, I rather would have been his hangman. 
1.1.37	Why, there's no remedy; 'tis the curse of service, 
1.1.38	Preferment goes by letter and affection, 
1.1.39	And not by old gradation, where each second 
1.1.40	Stood heir to the first. Now, sir, be judge yourself, 
1.1.41	Whether I in any just term am affined 
1.1.42	To love the Moor. 
1.1.43	I would not follow him then. 
1.1.44	O, sir, content you; 
1.1.45	I follow him to serve my turn upon him: 
1.1.46	We cannot all be masters, nor all masters 
1.1.47	Cannot be truly follow'd. You shall mark 
1.1.48	Many a duteous and knee-crooking knave, 
1.1.49	That, doting on his own obsequious bondage, 
1.1.50	Wears out his time, much like his master's ass, 
